system:index,apex_date,aspect,detail,elevation,event_id,flood,land_cover,precip_14_day,precip_3_day,precip_7_day,precip_total,purpose,slope,soil_moisture,soil_type,.geo
1_3,2015-07-30,36.753867621673194,Lu lich su Quang Ninh,149,FL_TRN_2015_07,1,10,80.88999774865806,0.429999977350235,33.26999922655523,60.11099840886891,training,19.98497200012207,0.24590210616588593,4,"{""type"":""Point"",""coordinates"":[108.90628480272191,14.751889277192916]}"
1_17,2015-07-30,270.0,Lu lich su Quang Ninh,42,FL_TRN_2015_07,1,40,146.2699966598302,8.709999933838844,99.52999830432236,26.51599927432835,training,0.47492656111717224,0.26787808537483215,4,"{""type"":""Point"",""coordinates"":[108.99575190747453,12.463535728334898]}"
1_29,2015-07-30,352.74851296565805,Lu lich su Quang Ninh,-3,FL_TRN_2015_07,1,80,222.14999484829605,82.84999822452664,126.48999739997089,57.57399847172201,training,7.4376912117004395,0.5015476942062378,4,"{""type"":""Point"",""coordinates"":[106.75112285467432,10.77250813238237]}"
1_41,2015-07-30,207.10128522104637,Lu lich su Quang Ninh,36,FL_TRN_2015_07,1,10,148.24999643303454,7.259999912232161,115.55999696999788,20.513999558985233,training,3.1225674152374268,0.2695702612400055,4,"{""type"":""Point"",""coordinates"":[108.95082001934934,12.304302040741758]}"
1_45,2015-07-30,134.53476457594638,Lu lich su Quang Ninh,-1,FL_TRN_2015_07,1,40,168.3699960205704,17.119999904185534,53.04999920539558,46.92999922670424,training,1.3222171068191528,0.0,4,"{""type"":""Point"",""coordinates"":[106.74949637636614,10.297980437345782]}"
1_56,2015-07-30,232.72586221387843,Lu lich su Quang Ninh,108,FL_TRN_2015_07,1,10,278.49999381415546,43.8699989952147,201.40999492630363,360.3369908705354,training,14.964672088623047,0.438625305891037,4,"{""type"":""Point"",""coordinates"":[105.91077216126757,17.94485678977577]}"
1_164,2015-07-30,121.6561241711283,Lu lich su Quang Ninh,258,FL_TRN_2015_07,1,10,281.71999512054026,16.009999917820096,57.869998747482896,192.8449952378869,training,12.183760643005371,0.5489675998687744,6,"{""type"":""Point"",""coordinates"":[107.4873146945747,14.332966003897878]}"
1_199,2015-07-30,298.5881415518303,Lu lich su Quang Ninh,352,FL_TRN_2015_07,1,10,148.30999629199505,0.2199999988079071,57.76999842748046,70.37099815905094,training,13.322608947753906,0.18573613464832306,6,"{""type"":""Point"",""coordinates"":[108.71868278423949,13.313710932047531]}"
1_238,2015-07-30,90.0,Lu lich su Quang Ninh,1701,FL_TRN_2015_07,1,10,186.90999552421272,35.01999933645129,149.06999635510147,93.86799773573875,training,6.142667770385742,0.5890196561813354,4,"{""type"":""Point"",""coordinates"":[108.69423949511297,12.12755384457729]}"
1_262,2015-07-30,345.5418983782941,Lu lich su Quang Ninh,604,FL_TRN_2015_07,1,40,287.969991851598,22.7199992146343,99.6699971947819,131.26399653218687,training,1.9149363040924072,0.4461155831813812,4,"{""type"":""Point"",""coordinates"":[107.87166924830102,14.163312360613956]}"
1_277,2015-07-30,27.44152949065483,Lu lich su Quang Ninh,58,FL_TRN_2015_07,1,10,128.24999735318124,10.649999750778079,50.88999902829528,215.44999462738633,training,6.245635509490967,0.2369592934846878,4,"{""type"":""Point"",""coordinates"":[107.70609647923223,15.658170652705559]}"
1_301,2015-07-30,64.71781040217662,Lu lich su Quang Ninh,62,FL_TRN_2015_07,1,40,217.78999419510365,83.00999767333269,135.35999654605985,414.5039900317788,training,1.085729718208313,0.3326939344406128,4,"{""type"":""Point"",""coordinates"":[105.2276248054867,19.155138394307833]}"
1_591,2015-07-30,-0.0,Lu lich su Quang Ninh,3,FL_TRN_2015_07,1,80,89.15999796241522,13.32999943010509,55.10999860987067,28.706999376416206,training,1.390963077545166,0.0,4,"{""type"":""Point"",""coordinates"":[106.64108001438359,9.884823530531568]}"
1_615,2015-07-30,221.76990940771995,Lu lich su Quang Ninh,936,FL_TRN_2015_07,1,10,225.81999368406832,151.49999505281448,172.03999451361597,130.876997532323,training,9.850393295288086,0.43918219208717346,4,"{""type"":""Point"",""coordinates"":[108.30016562070047,11.573182061171936]}"
