system:index,apex_date,aspect,detail,elevation,event_id,flood,is_agriculture,is_flood_prone,is_permanent_water,is_urban,land_cover,precip_14_day,precip_3_day,precip_7_day,precip_total,purpose,slope,soil_moisture,soil_type,.geo
1_47,2022-10-11,153.09742736816406,Lu tai Da Nang (Dot 1),0,FL_TRN_2022_10_A,1,1,1,0,0,40,499.9849888216704,126.99999655783176,218.25999460183084,119.44999743252993,training,2.0791823863983154,0.6316074132919312,1,"{""type"":""Point"",""coordinates"":[105.51887115459428,9.788117622548448]}"
1_58,2022-10-11,71.83456690865991,Lu tai Da Nang (Dot 1),2,FL_TRN_2022_10_A,1,1,1,0,0,40,396.5369909759611,105.48999720066786,184.66999519243836,107.52999695017934,training,2.972329991675358,0.0,4,"{""type"":""Point"",""coordinates"":[104.92928499543763,10.151731857211528]}"
1_100,2022-10-11,27.641837080199764,Lu tai Da Nang (Dot 1),512,FL_TRN_2022_10_A,1,0,0,0,0,10,592.329984979704,31.83999916538596,109.51999653503299,273.1799926161766,training,8.316999001870633,0.4723173677921295,4,"{""type"":""Point"",""coordinates"":[106.17240962689996,17.309156150309732]}"
1_109,2022-10-11,26.91301727294922,Lu tai Da Nang (Dot 1),2,FL_TRN_2022_10_A,1,1,1,0,0,40,470.8819883875549,124.22999662347138,213.75999439880252,133.18999744951725,training,6.216357231140137,0.654654860496521,4,"{""type"":""Point"",""coordinates"":[105.2679860329853,9.936616313509168]}"
1_124,2022-10-11,56.70140623590812,Lu tai Da Nang (Dot 1),0,FL_TRN_2022_10_A,1,0,0,0,0,30,514.2899877429008,135.23999665305018,218.40999446250498,142.07999640144408,training,3.3749148470053956,0.6417480707168579,1,"{""type"":""Point"",""coordinates"":[105.51288142881043,9.84860603943888]}"
1_133,2022-10-11,26.898813247680664,Lu tai Da Nang (Dot 1),8,FL_TRN_2022_10_A,1,1,1,0,0,40,533.511988343671,169.84999623149633,264.13999414257705,93.7999978940934,training,14.258370399475098,0.6178906559944153,4,"{""type"":""Point"",""coordinates"":[105.97462618732065,9.734274358076553]}"
1_136,2022-10-11,114.88599034792311,Lu tai Da Nang (Dot 1),727,FL_TRN_2022_10_A,1,0,0,0,0,30,25.245999321341515,0.7399999797344208,13.249999720603228,27.55999955534935,training,15.070813087941646,0.5009576082229614,4,"{""type"":""Point"",""coordinates"":[102.74428360583676,21.909345607276997]}"
1_160,2022-10-11,243.79850049655818,Lu tai Da Nang (Dot 1),1,FL_TRN_2022_10_A,1,1,1,0,0,40,487.40198813565075,165.9599959999323,219.11999448016286,101.10999746061862,training,2.099692207583055,0.6037807464599609,4,"{""type"":""Point"",""coordinates"":[106.06158468587383,10.20256994500823]}"
1_183,2022-10-11,198.7487235309162,Lu tai Da Nang (Dot 1),3,FL_TRN_2022_10_A,1,1,1,0,0,40,421.24798985756934,85.1699985973537,139.31999714672565,120.63999734073877,training,2.9358198071383166,0.555436372756958,4,"{""type"":""Point"",""coordinates"":[106.27736100414471,10.875485475960836]}"
1_191,2022-10-11,134.6206626861719,Lu tai Da Nang (Dot 1),2,FL_TRN_2022_10_A,1,1,1,0,0,40,620.5579848419875,126.14999618381262,279.5599925778806,123.28999627567828,training,6.573216059572429,0.5594369173049927,7,"{""type"":""Point"",""coordinates"":[105.70733889252288,9.3040201152244]}"
